#Cycle 7     Cycle 7
#Energy      Effective Area
#(keV)       (cm^2)
#---------------------------
3.50092     106.736
3.51157     107.123
3.52221     107.508
3.53286     108.102
3.54350     108.770
3.55415     109.408
3.56479     110.001
3.57543     110.582
3.58608     110.889
3.59672     111.228
3.60737     111.962
3.61801     112.864
3.62866     113.590
3.63930     113.976
3.64995     114.359
3.66059     114.856
3.67124     115.352
3.68188     115.970
3.69252     116.649
3.70317     117.298
3.71381     117.929
3.72446     118.560
3.73510     118.910
3.74575     119.244
3.75639     119.817
3.76704     120.543
3.77768     121.252
3.78833     121.913
3.79897     122.574
3.80961     123.005
3.82026     123.410
3.83090     124.096
3.84155     125.009
3.85219     125.756
3.86284     125.840
3.87348     125.919
3.88413     126.360
3.89477     126.859
3.90541     127.400
3.91606     127.987
3.92670     128.572
3.93735     129.051
3.94799     129.529
3.95864     130.078
3.96928     130.642
3.97993     131.208
3.99057     131.778
4.00122     132.317
4.01186     132.623
4.02250     132.926
4.03315     133.254
4.04379     133.561
4.05444     134.080
4.06508     134.899
4.07573     135.684
4.08637     136.004
4.09702     136.335
4.10766     136.757
4.11831     137.206
4.12895     137.687
4.13959     138.221
4.15024     138.753
4.16088     139.167
4.17153     139.561
4.18217     139.953
4.19282     140.344
4.20346     140.745
4.21411     141.170
4.22475     141.594
4.23540     142.184
4.24604     142.777
4.25668     143.170
4.26733     143.442
4.27797     143.699
4.28862     143.919
4.29926     144.137
4.30991     144.760
4.32055     145.414
4.33120     145.876
4.34184     146.188
4.35249     146.481
4.36313     146.714
4.37377     146.946
4.38442     147.480
4.39506     148.055
4.40571     148.393
4.41635     148.512
4.42700     148.661
4.43764     148.962
4.44829     149.262
4.45893     149.500
4.46957     149.725
4.48022     150.044
4.49086     150.462
4.50151     150.828
4.51215     150.891
4.52280     150.951
4.53344     151.390
4.54409     151.929
4.55473     152.236
4.56538     152.254
4.57602     152.276
4.58666     152.373
4.59731     152.466
4.60795     152.712
4.61860     153.010
4.62924     153.212
4.63989     153.267
4.65053     153.317
4.66118     153.275
4.67182     153.222
4.68247     153.300
4.69311     153.442
4.70376     153.561
4.71440     153.638
4.72504     153.713
4.73569     153.621
4.74633     153.525
4.75698     153.732
4.76762     154.096
4.77827     154.300
4.78891     154.139
4.79956     153.975
4.81020     154.082
4.82084     154.199
4.83149     154.311
4.84213     154.419
4.85278     154.421
4.86342     154.123
4.87407     153.821
4.88471     153.854
4.89536     153.902
4.90600     153.785
4.91665     153.537
4.92729     153.351
4.93793     153.396
4.94858     153.439
4.95922     153.190
4.96987     152.892
4.98051     152.548
4.99116     152.160
5.00180     151.811
5.01245     151.664
5.02309     151.514
5.03374     151.378
5.04438     151.243
5.05502     151.079
5.06567     150.901
5.07631     150.709
5.08696     150.439
5.09760     150.168
5.10825     149.940
5.11889     149.725
5.12954     149.462
5.14018     149.136
5.15083     148.812
5.16147     148.521
5.17211     148.229
5.18276     147.962
5.19340     147.670
5.20405     147.347
5.21469     146.975
5.22534     146.602
5.23598     146.264
5.24663     145.876
5.25727     145.428
5.26791     144.966
5.27856     144.454
5.28920     143.896
5.29985     143.343
5.31049     142.926
5.32114     142.507
5.33178     142.076
5.34243     141.638
5.35307     141.199
5.36372     140.765
5.37436     140.328
5.38500     139.797
5.39565     139.258
5.40629     138.736
5.41694     138.239
5.42758     137.757
5.43823     137.327
5.44887     136.895
5.45952     136.412
5.47016     135.905
5.48081     135.403
5.49145     134.910
5.50209     134.415
5.51274     133.915
5.52338     133.413
5.53403     132.955
5.54467     132.503
5.55532     132.030
5.56596     131.537
5.57661     131.035
5.58725     130.492
5.59790     129.949
5.60854     129.525
5.61918     129.129
5.62983     128.696
5.64047     128.217
5.65112     127.732
5.66176     127.201
5.67241     126.668
5.68305     126.179
5.69370     125.693
5.70434     125.205
5.71499     124.712
5.72563     124.223
5.73627     123.812
5.74692     123.388
5.75756     122.999
5.76821     122.622
5.77885     122.188
5.78950     121.654
5.80014     121.119
5.81079     120.605
5.82143     120.091
5.83207     119.669
5.84272     119.295
5.85336     118.913
5.86401     118.518
5.87465     118.121
5.88530     117.705
5.89594     117.287
5.90659     116.874
5.91723     116.464
5.92788     116.055
5.93852     115.650
5.94917     115.245
5.95981     114.781
5.97045     114.310
5.98110     113.846
5.99174     113.251
6.00239     112.716
6.01303     112.263
6.02368     111.809
6.03432     111.421
6.04497     111.041
6.05561     110.544
6.06625     109.942
6.07690     109.399
6.08754     109.127
6.09819     108.856
6.10883     108.417
6.11948     107.944
6.13012     107.439
6.14077     106.899
6.15141     106.377
6.16206     105.976
6.17270     105.575
6.18334     105.172
6.19399     104.769
6.20463     104.331
6.21528     103.850
6.22592     103.360
6.23657     102.784
6.24721     102.209
6.25786     101.803
6.26850     101.456
6.27915     101.050
6.28979     100.551
6.30043     100.049
6.31108     99.5009
6.32172     98.9520
6.33237     98.5701
6.34301     98.2663
6.35366     97.8901
6.36430     97.3763
6.37495     96.8626
6.38559     96.2026
6.39624     95.5424
6.40688     95.0281
6.41752     94.5933
6.42817     94.1026
6.43881     93.4806
6.44946     92.8589
6.46010     92.3724
6.47075     91.8931
6.48139     91.3409
6.49204     90.7405
6.50268     90.1736
6.51333     89.7053
6.52397     89.2395
6.53461     88.6226
6.54526     87.9895
6.55590     87.2982
6.56655     86.5610
6.57719     85.8775
6.58784     85.3910
6.59848     84.9048
6.60913     84.4253
6.61977     83.9472
6.63041     83.3899
6.64106     82.7766
6.65170     82.1673
6.66235     81.5749
6.67299     80.9860
6.68364     80.4001
6.69428     79.8142
6.70493     79.2530
6.71557     78.7148
6.72622     78.1755
6.73686     77.6241
6.74750     77.0756
6.75815     76.5000
6.76879     75.9161
6.77944     75.3420
6.79008     74.7761
6.80073     74.1934
6.81137     73.6291
6.82202     73.0662
6.83266     72.4804
6.84331     71.8817
6.85395     71.3006
6.86459     70.7433
6.87524     70.1712
6.88588     69.5976
6.89653     69.0350
6.90717     68.4446
6.91782     67.8396
6.92846     67.2612
6.93911     66.7424
6.94975     66.2577
6.96040     65.6652
6.97104     65.0689
6.98168     64.5267
6.99233     63.9978
7.00297     63.4458
7.01362     62.8291
7.02426     62.2133
7.03491     61.6890
7.04555     61.1725
7.05620     60.6533
7.06684     60.1302
7.07748     59.5972
7.08813     59.0304
7.09877     58.4644
7.10942     57.9640
7.12006     57.4725
7.13071     56.9664
7.14135     56.4477
7.15200     55.9425
7.16264     55.4929
7.17329     55.0438
7.18393     54.5727
7.19458     54.0979
7.20522     53.6250
7.21586     53.1539
7.22651     52.6854
7.23715     52.2283
7.24780     51.7720
7.25844     51.3434
7.26909     50.9226
7.27973     50.4754
7.29038     49.9954
7.30102     49.5214
7.31167     49.0960
7.32231     48.6715
7.33295     48.2275
7.34360     47.7777
7.35424     47.3224
7.36489     46.8585
7.37553     46.4001
7.38618     46.0271
7.39682     45.6505
7.40747     45.2008
7.41811     44.7212
7.42875     44.2729
7.43940     43.8808
7.45004     43.4924
7.46069     43.1280
7.47133     42.7644
7.48198     42.3598
7.49262     41.9342
7.50327     41.5203
7.51391     41.1312
7.52456     40.7430
7.53520     40.3416
7.54584     39.9403
7.55649     39.5461
7.56713     39.1567
7.57778     38.7691
7.58842     38.3848
7.59907     38.0013
7.60971     37.6504
7.62036     37.3032
7.63100     36.9504
7.64165     36.5932
7.65229     36.2434
7.66293     35.9180
7.67358     35.5900
7.68422     35.2567
7.69487     34.9234
7.70551     34.5752
7.71616     34.2135
7.72680     33.8587
7.73745     33.5346
7.74809     33.2113
7.75874     32.8751
7.76938     32.5367
7.78002     32.2007
7.79067     31.8670
7.80131     31.5378
7.81196     31.2347
7.82260     30.9321
7.83325     30.6362
7.84389     30.3484
7.85454     30.0533
7.86518     29.7485
7.87582     29.4469
7.88647     29.1780
7.89711     28.9096
7.90776     28.6435
7.91840     28.3782
7.92905     28.1174
7.93969     27.8636
7.95034     27.6104
7.96098     27.3714
7.97163     27.1325
7.98227     26.8586
7.99291     26.5660
8.00356     26.2977
8.01420     26.0772
8.02485     25.8568
8.03549     25.6335
8.04614     25.4102
8.05678     25.2083
8.06743     25.0184
8.07807     24.8219
8.08872     24.6093
8.09936     24.3970
8.11001     24.2110
8.12065     24.0268
8.13129     23.8469
8.14194     23.6699
8.15258     23.4957
8.16323     23.3296
8.17387     23.1637
8.18452     23.0006
8.19516     22.8422
8.20581     22.6809
8.21645     22.5165
8.22709     22.3583
8.23774     22.2246
8.24838     22.0910
8.25903     21.9503
8.26967     21.8086
8.28032     21.6730
8.29096     21.5436
8.30161     21.4149
8.31225     21.2902
8.32290     21.1657
8.33354     21.0360
8.34418     20.9041
8.35483     20.7742
8.36547     20.6476
8.37612     20.5218
8.38676     20.4014
8.39741     20.2812
8.40805     20.1562
8.41870     20.0296
8.42934     19.9102
8.43999     19.8007
8.45063     19.6909
8.46127     19.5738
8.47192     19.4569
8.48256     19.3491
8.49321     19.2451
8.50385     19.1434
8.51450     19.0454
8.52514     18.9475
8.53579     18.8401
8.54643     18.7338
8.55708     18.6329
8.56772     18.5347
8.57836     18.4369
8.58901     18.3396
8.59965     18.2425
8.61030     18.1638
8.62094     18.0857
8.63159     17.9990
8.64223     17.9070
8.65288     17.8183
8.66352     17.7377
8.67416     17.6563
8.68481     17.5757
8.69545     17.4952
8.70610     17.4104
8.71674     17.3222
8.72739     17.2360
8.73803     17.1554
8.74868     17.0751
8.75932     16.9854
8.76997     16.8946
8.78061     16.8093
8.79125     16.7288
8.80190     16.6481
8.81254     16.5652
8.82319     16.4826
8.83383     16.3985
8.84448     16.3143
8.85512     16.2305
8.86577     16.1472
8.87641     16.0680
8.88706     15.9897
8.89770     15.9106
8.90834     15.8262
8.91899     15.7404
8.92963     15.6547
8.94028     15.5690
8.95092     15.4839
8.96157     15.4033
8.97221     15.3228
8.98286     15.2315
8.99350     15.1365
9.00415     15.0422
9.01479     14.9489
9.02543     14.8566
9.03608     14.7838
9.04672     14.7111
9.05737     14.6368
9.06801     14.5619
9.07866     14.4859
9.08930     14.4074
9.09995     14.3290
9.11059     14.2470
9.12124     14.1651
9.13188     14.0938
9.14252     14.0284
9.15317     13.9567
9.16381     13.8703
9.17446     13.7841
9.18510     13.7058
9.19575     13.6297
9.20639     13.5666
9.21704     13.5110
9.22768     13.4504
9.23832     13.3749
9.24897     13.2994
9.25961     13.2230
9.27026     13.1467
9.28090     13.0651
9.29155     12.9794
9.30219     12.8959
9.31284     12.8200
9.32348     12.7442
9.33413     12.6628
9.34477     12.5806
9.35542     12.4995
9.36606     12.4196
9.37670     12.3396
9.38735     12.2590
9.39799     12.1785
9.40864     12.0969
9.41928     12.0152
9.42993     11.9357
9.44057     11.8587
9.45122     11.7812
9.46186     11.6974
9.47250     11.6140
9.48315     11.5318
9.49379     11.4501
9.50444     11.3684
9.51508     11.2863
9.52573     11.2048
9.53637     11.1138
9.54702     11.0231
9.55766     10.9384
9.56831     10.8561
9.57895     10.7700
9.58959     10.6773
9.60024     10.5850
9.61088     10.4974
9.62153     10.4101
9.63217     10.3235
9.64282     10.2374
9.65346     10.1486
9.66411     10.0541
9.67475     9.95997
9.68540     9.86477
9.69604     9.76989
9.70668     9.66743
9.71733     9.56072
9.72797     9.45484
9.73862     9.35049
9.74926     9.24650
9.75991     9.12970
9.77055     9.01246
9.78120     8.89633
9.79184     8.78116
9.80249     8.66438
9.81313     8.54124
9.82377     8.41864
9.83442     8.29671
9.84506     8.17533
9.85571     8.05329
9.86635     7.93163
9.87700     7.81109
9.88764     7.69364
9.89829     7.57669
9.90893     7.46588
9.91958     7.35660
9.93022     7.24577
9.94086     7.13333
9.95151     7.02154
9.96215     6.91136
